"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"House Crow","U",2018,1.41320662058051,-0.714491097397046,1
"House Crow","U",2019,1.43187035098284,-0.784110242664401,1
"House Crow","U",2020,1.54724173780968,-0.969938265181898,1
"House Crow","U",2021,1.5469244022356,-1.04781060115452,1
"Common Myna","U",2018,1.82400946802296,-1.46800780773655,1
"Common Myna","U",2019,1.73307373452262,-1.38177092230133,1
"Common Myna","U",2020,1.84720182480759,-1.49860910655144,1
"Common Myna","U",2021,1.75671114627276,-1.38343578338294,1
"Jungle Myna","U",2018,3.11750035271883,-3.93188431490799,1
"Jungle Myna","U",2019,3.13208900601077,-3.91343742169248,1
"Jungle Myna","U",2020,3.17195552493966,-4.01574115583213,1
"Jungle Myna","U",2021,3.06220470455939,-3.79364682974063,1
"Rock Pigeon","U",2018,1.9470348794097,-1.76580598792884,1
"Rock Pigeon","U",2019,1.95842087234106,-1.83143555549575,1
"Rock Pigeon","U",2020,1.99672598116425,-1.89832922660537,1
"Rock Pigeon","U",2021,1.95175249122738,-1.8255772471079,1
"Black Kite","U",2018,2.72410621828451,-3.10986670589091,1
"Black Kite","U",2019,2.8031624060717,-3.22071307912064,1
"Black Kite","U",2020,2.97538170735853,-3.41166892163974,1
"Black Kite","U",2021,2.99274189507605,-3.45704211897778,1
"Common Tailorbird","U",2018,2.01434139026885,-1.831943077593,1
"Common Tailorbird","U",2019,1.90281219902095,-1.69504273333531,1
"Common Tailorbird","U",2020,1.95733059001364,-1.70468090241321,1
"Common Tailorbird","U",2021,1.93034628631927,-1.69646371625145,1
"Rose-ringed Parakeet","U",2018,2.50738834985057,-2.91466258611152,1
"Rose-ringed Parakeet","U",2019,2.50699124764202,-2.82374407227935,1
"Rose-ringed Parakeet","U",2020,2.49905077703541,-2.8218596095359,1
"Rose-ringed Parakeet","U",2021,2.42958356799749,-2.77297923231545,1
"Asian Koel","U",2018,2.26932831601974,-2.21703105607415,1
"Asian Koel","U",2019,2.26452655041466,-2.14462264344472,1
"Asian Koel","U",2020,2.17278583968139,-2.08357028509178,1
"Asian Koel","U",2021,2.13746540699632,-2.06001993745577,1
"Purple Sunbird","U",2018,2.85343588741833,-3.3314673782247,1
"Purple Sunbird","U",2019,2.67572721662461,-3.02354146249516,1
"Purple Sunbird","U",2020,2.76391776165359,-3.2103643954869,1
"Purple Sunbird","U",2021,2.82203857255932,-3.3022136520878,1
"Pale-billed Flowerpecker","U",2018,2.36259264204324,-2.63149657414509,1
"Pale-billed Flowerpecker","U",2019,2.31466871761138,-2.50903194635108,1
"Pale-billed Flowerpecker","U",2020,2.38855971659459,-2.63736382549446,1
"Pale-billed Flowerpecker","U",2021,2.37935634548358,-2.61571229991752,1
"White-cheeked Barbet","U",2018,1.50105266428468,-0.762579840569227,1
"White-cheeked Barbet","U",2019,1.51095771674571,-0.723993248532408,1
"White-cheeked Barbet","U",2020,1.43670884478614,-0.757216705500155,1
"White-cheeked Barbet","U",2021,1.48043873303148,-0.759121710708686,1
"Green Bee-eater","R",2018,2.73241646873858,-3.13806261477687,1
"Green Bee-eater","R",2019,2.68255653547967,-3.03906429585501,1
"Green Bee-eater","R",2020,2.71818150711357,-3.04872589040527,1
"Green Bee-eater","R",2021,2.7209633654231,-3.09505322615622,1
"Black Drongo","R",2018,2.11052580963264,-2.0736932758699,1
"Black Drongo","R",2019,2.13912005811232,-2.08801949230418,1
"Black Drongo","R",2020,2.16059187647779,-2.15607930232335,1
"Black Drongo","R",2021,2.15731141327115,-2.14483288582766,1
"Plain Prinia","R",2018,3.80695864325776,-5.23138090242354,1
"Plain Prinia","R",2019,3.85117982091275,-5.28798467127084,1
"Plain Prinia","R",2020,3.79431488434898,-5.24236078777991,1
"Plain Prinia","R",2021,3.76933542268157,-5.18559368495883,1
"Indian Robin","R",2018,4.20747037286885,-5.90214429814544,1
"Indian Robin","R",2019,4.10963728661337,-5.82631792556367,1
"Indian Robin","R",2020,4.13179401294526,-5.89440292982633,1
"Indian Robin","R",2021,4.1701098758389,-5.91858054079487,1
"House Sparrow","R",2018,3.13196252002893,-3.95768476093182,1
"House Sparrow","R",2019,3.10502216727904,-3.90405196084185,1
"House Sparrow","R",2020,3.36908001646381,-4.37834263797201,1
"House Sparrow","R",2021,3.26800573730191,-4.24116989725014,1
"Spotted Dove","R",2018,2.51772051792624,-2.80475135925112,1
"Spotted Dove","R",2019,2.53612018949464,-2.73134142096456,1
"Spotted Dove","R",2020,2.45553218955273,-2.6375181251712,1
"Spotted Dove","R",2021,2.40794431049081,-2.6037084959195,1
"Coppersmith Barbet","R",2018,3.51599772616335,-4.38597209102221,1
"Coppersmith Barbet","R",2019,3.55770420632106,-4.3827526471379,1
"Coppersmith Barbet","R",2020,3.56763977697834,-4.46358011399143,1
"Coppersmith Barbet","R",2021,3.68028170422665,-4.63216482926124,1
"White-throated Kingfisher","R",2018,1.8302843509308,-1.53551758636875,1
"White-throated Kingfisher","R",2019,1.8365634962489,-1.5792025615532,1
"White-throated Kingfisher","R",2020,1.83893779795803,-1.55719575337681,1
"White-throated Kingfisher","R",2021,1.88321610103258,-1.53908363091624,1
"Black-rumped Flameback","R",2018,2.20726034008151,-2.27729681488134,1
"Black-rumped Flameback","R",2019,2.151073386307,-2.1298276353947,1
"Black-rumped Flameback","R",2020,2.13021628681071,-2.12923800897817,1
"Black-rumped Flameback","R",2021,2.13563015830767,-2.09831698213134,1
"Rufous Treepie","R",2018,1.89891094986875,-1.6596249586038,1
"Rufous Treepie","R",2019,1.87556358136427,-1.58085260094711,1
"Rufous Treepie","R",2020,1.88052742771819,-1.59241263179396,1
"Rufous Treepie","R",2021,1.90304885011862,-1.6543744664947,1
