S.NO,OBSERVER.ID,FULL.NAME,GA.1,GA.2,JUSTIFICATION
1,obsr969053,Birdwatchers' Society of Bengal,0,1,Data otherwise not on eBird but multiple observers
2,obsr714818,EaGh Project,0,1,Data otherwise not on eBird but multiple observers
3,obsr1861874,Sikkim Historical,0,1,
4,obsr1379629,Published Records,0,1,
5,obsr1001939,Indian Rarities (Proxy Account),0,1,
6,obsr981814,Kasargod Birders (Group Account),0,1,Data otherwise not on eBird but multiple observers
7,obsr1775526,Salem Ornithological Records,0,1,
8,obsr445600,Kerala Birder (Group Account),1,0,
9,obsr1791765,Pakistan Historical  Records,0,1,
10,obsr964974,Bangalore Birds Historical Data,0,1,
11,obsr547126,BSAP GroupAccount,1,0,
12,obsr642636,MigrantWatch (group account),0,1,Multiple observers
13,obsr773853,Tamilbirds (Group Account),1,0,
14,obsr916847,TN Vernay Scientific Survey of the Eastern Ghats,0,1,Data otherwise not on eBird but multiple observers
15,obsr1160830,Netherlands Karakoram Expedition (Group Account),0,1,Data otherwise not on eBird but multiple observers
16,obsr641959,BR Hills Historical Data,0,1,
17,obsr965035,Bandipur Historical Data,0,1,
18,obsr965029,Ranganathittu Historical Data,0,1,
19,obsr965036,Nandi Hills Historical Data,0,1,
20,obsr965038,Devarayanadurga Namadachilume Historical Data,0,1,
21,obsr966506,Ahmednagar Birding Pals,1,0,
22,obsr1426731,Maurice Broun (Historical Records),0,0,"Data otherwise not on eBird, single observer"
23,obsr798511,Michael Spencer (historical data),0,0,"Data otherwise not on eBird, single observer"
24,obsr1157993,Southampton Univeristy Ladakh Expedition 1976-82 (Group Account),0,1,Data otherwise not on eBird but multiple observers
25,obsr1238579,Kalpavriksh (Group Account),0,1,Data otherwise not on eBird but multiple observers
26,obsr845684,AWC Kerala,1,0,
27,obsr450476,Bird Observers Club of Australia,1,0,
28,obsr984043,Flamingo  Records,0,1,
29,obsr1364394,Maan Barua Historical Data,0,0,This is a single observer's data
30,obsr553458,Bird Spot (Group Account),0,1,Data otherwise not on eBird but multiple observers
31,obsr1222231,Vembanad Bird Count (Group Account),1,0,
32,obsr1042371,Pune Rarities and Uncommoners (proxy account),0,1,
33,obsr560629,Dead Birds India,0,1,
34,obsr30444,Bird Explorers,1,0,
35,obsr228178,Eduardo Navarro (Albatross Birding Chile),0,0,Bird tours but single observer
36,obsr1299699,Aralam  Bird Survey,1,0,
37,obsr771867,Birdwatchers Kerala (Group Account),1,0,
38,obsr756005,Bng Liocichlas (Group Account),1,0,
39,obsr2508648,Gauhati Birds,1,0,
40,obsr519426,Anonymous ebirder,0,0,
41,obsr535008,Facebook Birders,0,1,Data otherwise not on eBird but multiple observers
42,obsr508506,Horacio Matarasso /  Buenos DÃ­as Birding,0,0,Bird tours but single observer
43,obsr1028100,e bird,1,0,
44,obsr1080510,Laughingthrush Song Recording Project,1,0,
45,obsr759040,Supaporn Teamwong,0,0,
46,obsr524613,Kaiga Bird Marathon,1,0,
47,obsr638917,Ezhupunna Birders (group account) ,1,0,
48,obsr2188005,Western Ghats Wildlife Conservation Trust WGWCT,1,0,
49,obsr678030,Baalpandi Birder,0,0,
50,obsr507368,SGPGI Birding,1,0,
51,obsr465574,Instituteofbirdstudies Rishivalley,1,0,
52,obsr436534,TheNatureTrust (GroupAccount),1,0,
53,obsr383823,Sree Birder,0,0,
54,obsr537714,The Bhubaneswar Bird Walks TBBW,1,0,
55,obsr485413,Santosh   Kumar Thakur ( Wildlifer) ,0,0,
56,obsr347583,Whitehawk Birding and Conservation,1,0,
57,obsr1972534,Nature Conservation Society  Nashik,1,0,
58,obsr559159,Marta Curti whitehawkbirding.com,0,0,Bird tours but single observer
59,obsr576429,Wildon trust trust,1,0,
60,obsr566817,Manipal Birders (Group Account),1,0,
61,obsr1418400,Asian waterfowl census Pathanamthitta,1,0,
62,obsr611967,Coimbatore Nature Society,1,0,
63,obsr492319,Big Bird Day Arunachal Pradesh,1,0,
64,obsr471466,Big Bird Day India,1,0,
65,obsr458624,BBD2015  GA-007,1,0,
66,obsr483948,Bird Count India,1,0,
67,obsr488654,Tiger Club,1,0,
68,obsr490255,Big Bird Day Maharastra,1,0,
69,obsr452068,bhopal birds,1,0,
70,obsr488624,Rotti Kadai School,1,0,
71,obsr496458,BeulaSchool Valparai,1,0,
72,obsr488638,Ropeway School,1,0,
73,obsr441292,Auroville Birds,1,0,
74,obsr477701,Birdman Balpandi,0,0,
75,obsr518753,Melagiri Birding,1,0,
76,obsr846108,iNaturewatch Foundation,1,0,
77,obsr492320,Big Bird Day West Bengal,1,0,
78,obsr949737,Salem Ornithological Foundation (Group Account),1,0,
79,obsr422442,Troy Blodgett,0,0,
80,obsr1196810,AWC India,1,0,
81,obsr54079,Kirk Huffstater,0,0,
82,obsr543017,Great Indian Birding Trip,1,0,
83,obsr548074,Suhel TestAccount,1,0,
84,obsr802969,Hyderabad  Birding Pals,1,0,
85,obsr831754,Kole Birders (Group Account),1,0,
86,obsr725426,Chaatak Nature Conservation Society,1,0,
87,obsr574029,FreeBirds UK,1,0,
88,obsr584618,birdsong song,1,0,
89,obsr560680,Tribal Foundation Nagarcoil,1,0,
90,obsr559076,Nature Society of Tirupur Tirupur,1,0,
91,obsr598197,Tezpur University Biodiversity Club,1,0,
92,obsr579240,Chowgule Birders,1,0,
93,obsr584846,foundation for ecological security Group,1,0,
94,obsr578751,Christ  University,1,0,
95,obsr569416,NSS College Nilamel (Group Account),1,0,
96,obsr598069,Sanskriti School,1,0,
97,obsr589464,nyass trust,1,0,
98,obsr571926,Hoolock Gibbon Eco Club,1,0,
99,obsr822329,IBIS (Group account),1,0,
100,obsr611605,Zoology Fatima College,1,0,
101,obsr593159,anandha primary school,1,0,
102,obsr589376,Rainbow Friends Bird  Club,1,0,
103,obsr458633,BBD2014 GA-009,1,0,
104,obsr460987,BBD2015 GA-006,1,0,
105,obsr449017,BBD2015  GA-001,1,0,
106,obsr604274,BBD2015 GA-011,1,0,
107,obsr458643,BBD2015 GA-005,1,0,
108,obsr1361954,City Birders,1,0,
109,obsr606104,Khonoma Eco Club,1,0,
110,obsr885071,ValparaiBirdSurvey (Group Account),1,0,
111,obsr606551,Zoology Lady Doak college,1,0,
112,obsr578473,dfo soil conservation nainital,1,0,
113,obsr623146,Young Birders Club Darbhanga,1,0,
114,obsr620930,Mussoorie Bird Count,1,0,
115,obsr627088,VTPMSSRF 2015,1,0,
116,obsr660861,Cinchona Govt High School(Group account),1,0,
117,obsr942962,BirdAtlas Kottayam,1,0,
118,obsr632197,naturesociety kottayam,1,0,
119,obsr639338,Bird Atlas  Thrissur (Group Account),1,0,
120,obsr778160,Bird Atlas Kannur (Group Account),1,0,
121,obsr570966,Tillari Biodiversity Research ,1,0,
122,obsr1614016,Chandigarh Bird Club CBC,1,0,
123,obsr535437,World Shorebirds Day,1,0,
124,obsr778167,Ernakulam Bird Atlas(Group Account),1,0,
125,obsr665453,NE India 2005,1,0,
126,obsr667262,Team Asola,1,0,
127,obsr667675,KIKA's Bird Club,1,0,
128,obsr717997,Tropical Forest Research Institute Jabalpur,1,0,
129,obsr670177,Bird Snappers,1,0,
130,obsr820286,OldKent Estates,1,0,
131,obsr683988,kottayam nature society,1,0,
132,obsr779050,Bird Atlas Palakkad (Group Account),1,0,
133,obsr676309,Kerala Rarities (Group Account),0,1,
134,obsr693326,Dumna Nature Society,1,0,
135,obsr686647,GovtArtsCollege4Women Pudukkottai,1,0,
136,obsr686604,Birds Auroville (GroupAccount),1,0,
137,obsr723909,ANET-Andamans (group account),1,0,
138,obsr726801,"10,000 Birds Collaborative",1,0,
139,obsr692421,Aravalli Biodiversity Park ABP,1,0,
140,obsr853535,Tilpath Valley Biodiversity Park,1,0,
141,obsr694647,Kabini  River Lodge,1,0,
142,obsr834188,college of forestry sirsi,1,0,
143,obsr700408,Panchabhuta Conservation Foundation,1,0,
144,obsr700547,Calicut Bird Club,1,0,
145,obsr715038,Good Earth  School,1,0,
146,obsr724369,Anantya Resorts,1,0,
147,obsr706126,Chikkanna Government Arts College NSS Unit-II,1,0,
148,obsr467489,pemschoolofexcellence cbse-tirupur,1,0,
149,obsr1200445,Bahar Nature Foundation,1,0,
150,obsr817423,Kannankurichi People (Group Account),1,0,
151,obsr643986,Phil Gregory | Sicklebill Safaris | www.birder.travel,0,0,Bird tours but single observer
152,obsr738014,North Karnataka Birders network,1,0,
153,obsr1202646,Dr Sudhir  Birding Tour,0,0,Bird tours but single observer
154,obsr879790,Foundation for Ecological Security  Anand,1,0,
155,obsr692727,Pathanamthitta Atlas,1,0,
156,obsr861394,Kasaragod bird atlas (Group Account) ,1,0,
157,obsr785050,Bird Atlas Trivandrum (Group account),1,0,
158,obsr974048,IISER  Tirupati (group account),1,0,
159,obsr943742,Kollam bird atlas Kollam (Group Account),1,0,
160,obsr790264,Hillblooms  School,1,0,
161,obsr2220798,Ladakh Birders,1,0,
162,obsr804605,Onam  Bird Count (Group Account),1,0,
163,obsr807390,vasaibirds vasai,1,0,
164,obsr885040,Nature Forever Society Great  Sparrow Count,1,0,
165,obsr818959,Mumbai Birdwatchers,1,0,
166,obsr828829,Birding Durgapur,0,0,
167,obsr533869,Michael Bird,1,0,
168,obsr819682,Birdwatchers Chhattisgarh,1,0,
169,obsr1152540,Projects of Wildlife Science Department  KAU (Group Account),1,0,
170,obsr874509,Mumbai  Bird Race Group Account,0,0,
171,obsr807703,priyasivam bird,1,0,
172,obsr1219893,Rajapalayam Rajus' College Rajapalayam (Group Account ),1,0,
173,obsr828817,Bangalore Waterbird Census 2017,1,0,
174,obsr831277,Bird Race Kochi(Group Account),1,0,
175,obsr839877,Birds Of Thane & Raigad District  Group Account,1,0,
176,obsr844898,IHS Birding Group,0,0,
177,obsr826579,"V.KalaiSelvan,P.U.P.School, Neermullikuttai,Salem.",1,0,
178,obsr836628,Birder of Telangana,1,0,
179,obsr841406,Andaman Avians Club,0,1,
180,obsr1965171,APBird records,1,0,
181,obsr840271,ahmedabad birdrace,1,0,
182,obsr820546,BangaloreBirdRace bbr,1,0,
183,obsr855195,Kaiga Birders,1,0,
184,obsr892207,alappuzhanatural historysociety,1,0,
185,obsr895563,AWC Kollam,1,0,
186,obsr847262,Tropical Institute of Ecological  scienses,1,0,
187,obsr895550,AWC Trivandrum,1,0,
188,obsr842592,Thiruvel  Tuition centre,1,0,
189,obsr844880,WAR Rajapalayam (Group Account),1,0,
190,obsr853106,Eastdelhi Birders,1,0,
191,obsr853532,Neela Hauz Biodiversity Park,1,0,
192,obsr855983,Rachana School,1,0,
193,obsr874282,Wildlife Wing Himachal Pradesh Forest Department,1,0,
194,obsr654194,Kashmir Birdwatch,1,0,
195,obsr789220,Yenepoya University,1,0,
196,obsr854109,Thrissur Bird Survey (Group Account),1,0,
197,obsr861314,Malappuram Bird Atlas (Group Account),1,0,
198,obsr861140,Zoology department Christian college,1,0,
199,obsr1251211,Melghat Project,0,1,Data otherwise not on eBird but multiple observers
200,obsr852457,Salem Krishnampudur School Students (Group Account),1,0,
201,obsr865796,P.U.M.School Thalavaipatty General Account,1,0,
202,obsr1473456,The Doon School  Bird Monitoring Club,1,0,
203,obsr891195,Kanha Bird Survey (group account),1,0,
204,obsr906773,Malabar WLS Bird Survey,0,0,
205,obsr920360,akriti birding,1,0,
206,obsr919263,caringnature preservemotherearth,1,0,
207,obsr943992,Wayanad Forest Bird Survey Group Account,1,0,
208,obsr946118,Cochin Natural History Society,1,0,
209,obsr946002,Hornbill Nature Society,1,0,
210,obsr941685,Palakkad Forest Survey (Group Account),1,0,
211,obsr944367,Ranni Atlas,1,0,
212,obsr943555,Trivandrum Forest Survey,1,0,
213,obsr971864,Meenangadi Birding,1,0,
214,obsr948462,Bikaner Birds,1,0,
215,obsr943527,Pues-palapatti school,1,0,
216,obsr977891,IISERTirupati Birding,1,0,
217,obsr950214,Cochin Natural History Society,1,0,
218,obsr960530,Mannarkkad survey,1,0,
219,obsr951484,Nemmara Forest Survey (Group Account),1,0,
220,obsr954817,Wayanad atlas,1,0,
221,obsr958690,South wayand Bird Atlas,1,0,
222,obsr752021,AK Birder,1,0,
223,obsr955992,Kozhikode Bird Atlas,1,0,
224,obsr964297,Delhi Bird Monitoring Network,1,0,
225,obsr991645,Birds of Kerala Agricultural University (Group Account),0,1,Data otherwise not on eBird but multiple observers
226,obsr942578,CHINNANOOR School  Students,1,0,
227,obsr974065,Birders Sans Borders,1,0,
228,obsr979630,Christ college  Irinjalakuda ,1,0,
229,obsr1110457,Kerala Birdwatching,1,0,
230,obsr990822,Malappuram Birders  (Group Account),1,0,
231,obsr1237847,Punjab Bird Club India,1,0,
232,obsr986661,Bikanerbirdsurvey 2017,1,0,
233,obsr1008325,SriCity Nature Society,1,0,
234,obsr1245003,CROW Foundation (Group Acount),1,0,
235,obsr996392,asb count,1,0,
236,obsr998912,ukb count,1,0,
237,obsr1001549,Asian Waterbird  Census Ernakulam,1,0,
238,obsr1005312,CFN Society,1,0,
239,obsr1001268,French Birds (Group Account),1,0,
240,obsr955999,Salem Nature & Wildlife Trust SNWT,1,0,
241,obsr1062306,Balipara Foundation,1,0,
242,obsr1027079,MSB Educational Inst.,1,0,
243,obsr1022115,Azim Premji University SLS,1,0,
244,obsr1042821,Karkalabirders Network,1,0,
245,obsr1038279,Birds Club International Christian College Chengannur,1,0,
246,obsr1025720,zamorins guruvayurappan college calicut,1,0,
247,obsr1030716,Rishi Valmiki Eco School,1,0,
248,obsr1045559,"Panchayat Union Primary School, Neermullikuttai (Group Account)",1,0,
249,obsr1013102,P U P School Sundarapuram Group Account,1,0,
250,obsr1031578,vidhya vidyalaya school Group account,1,0,
251,obsr2486752,Himalayan Birding,1,0,
252,obsr1815573,Rabindra Sarobar (group Account),1,0,
253,obsr1058414,Hoskote Bird Count,1,0,
254,obsr1048274,Satpura Bird Surveys (Group Account),1,0,
255,obsr2483199,Birdinghimalayas Team,1,0,
256,obsr1057669,Kheoni Birds,1,0,
257,obsr1180995,Cauvery Wildlife Sanctuary  Birds,1,0,
258,obsr1181061,Periyar TR Bird Survey,1,0,
259,obsr1123655,Project Dhvani Group Account,1,0,
260,obsr1113930,Marappalam Govt High School,1,0,
261,obsr1121423,Sri Sakthi Social Economical and Educational Welfare Trust Sakthi Trust,1,0,
262,obsr1197499,Konni Atlas,1,0,
263,obsr1134788,Anantya Resorts,1,0,
264,obsr1205666,Long Term Bird  Monitoring Kasaragod (Group Account) ,1,0,
265,obsr1171851,Mangalore University  (Group account),1,0,
266,obsr1950120,Birders Thodupuzha Group Account,1,0,
267,obsr1167603,naturemates natureclub,1,0,
268,obsr1285727,NaturalisT Foundation,1,0,
269,obsr1190550,Orangevale  Birding Club,1,0,
270,obsr1419580,NMS Sermathai Vasan College For Women,1,0,
271,obsr1210149,WISH Foundation,1,0,
272,obsr1482341,Exeter University India Fieldcourse,1,0,
273,obsr1222958,Mysore Mandya Chamarajanagar Bird Census group account,1,0,
274,obsr1229803,Shendurney Bird Atlas,1,0,
275,obsr1229050,AWC Kannur,1,0,
276,obsr1214141,Wetlands International (for outside India),1,0,
277,obsr1228910,Ujjain Birding Club,1,0,
278,obsr1006097,Tamiraparani Waterbird Count (Group Account),0,0,Bird tours but single observer
279,obsr771582,Jorge Luis Cruz Alcivar - Magic Birding Tours,1,0,"Bird tours, multiple observers"
280,obsr402712,Ventures Birding,1,0,"Bird tours, multiple observers"
281,obsr428349,Melbourne Birding Tours,1,0,
282,obsr1274160,Paradise School Goa,1,0,
283,obsr1274183,St Aloysius College,1,0,
284,obsr1289174,University college Mangalore,1,0,
285,obsr1274126,Munnar Bird Survey (Group Account),1,0,
286,obsr1283612,Karimpuzha WLS (Group Account),1,0,
287,obsr1239892,Parambikulam Bird Survey (Group Account),1,0,
288,obsr1269183,IIT Palakkad Birding  group,1,0,
289,obsr1263398,MACFAST Forestry Club(Group Account),1,0,
290,obsr1227617,Gandhisagar Wildlife Sanctuary,1,0,
291,obsr1236268,TI school nature club,0,1,Data otherwise not on eBird but multiple observers
292,obsr1277497,Salem Latchumayur School Students (Group Account),1,0,
293,obsr1263401,Jayamcbse Group account,1,0,
294,obsr1274199,Thaitamil High School (Group Account),1,0,
295,obsr1302580,The Peepal Grove School,0,0,Bird tours but single observer
296,obsr615305,Andy Walker - Birding Ecotours,1,0,
297,obsr1288244,alappuzha market birds,1,0,
298,obsr1295206,Mankulam Bird Survey (Group Account),1,0,
299,obsr1300334,Bird Count CVAS Pookode,1,0,
300,obsr497290,Earlham College,1,0,
301,obsr741895,Autumn Migration Project,1,0,
302,obsr1349862,Jashpur Wildlife Welfare Foundation,1,0,
303,obsr1347714,bird  counter,1,0,
304,obsr1403647,The Shikra Club (Group Account),1,0,
305,obsr1440526,Project Urban Birds Mysore,1,0,
306,obsr1293601,Silent Valley Bird Survey (Group Account),1,0,
307,obsr1482952,wet atlas  shenduruni,1,0,
308,obsr1444311,Onam Bird Count Thiruvananthapuram,0,0,
309,obsr1463113,arunap tadoba bird watching,0,0,
310,obsr1463085,vandanamoon bird watching,1,0,
311,obsr1455700,Kolkata Bird Study,1,0,
312,obsr1727973,Forest Research Center for Coastal Ecosystem,1,0,
313,obsr1488051,kuno  birds,1,0,
314,obsr1501926,IISER Pulicat birding (Group Account),1,0,Bird tours but single observer - better to include
315,obsr1499219,Luke Paterson || NT Bird Specialists - Birding Tours,1,0,
316,obsr1487003,Buxa Bird Festival,1,0,
317,obsr1514659,Big Bird Day Delhi,1,0,
318,obsr1475302,Maria's Public School,0,0,Personal account
319,obsr682898,Dylan Vasapolli - Birding Ecotours,1,0,
320,obsr1521030,South Delhi Biodiversity Park,1,0,
321,obsr1031196,Tughlaqabad  Biodiversity Park,1,0,
322,obsr2106958,AWC Gujarat,1,0,
323,obsr1489757,Wildlife  Hamirpur,1,0,
324,obsr1521865,Kerala Bird Atlas Highest Priority (Group Account),1,0,
325,obsr1500244,Bubo Birding,1,0,
326,obsr1519149,AWC Kasaragod,1,0,
327,obsr1524675,Pune Bird Atlas,1,0,
328,obsr1563989,The Flamingo Bird Club (Group Account),1,0,
329,obsr1516935,Department of Zoology VICAS,1,0,
330,obsr1532009,Salem A. P. Vattam School Students (Group Account),1,0,
331,obsr1574350,Secretary SricityNatureSociety,1,0,"Bird tours, multiple observers"
332,obsr863122,Bellbird Birding Tours,0,0,
333,obsr659656,john rawcliffe,1,0,
334,obsr1575568,Bhoomithrasena Club CCC,1,0,
335,obsr1522788,Satpura Bird  Survey,1,0,
336,obsr1589234,Our Lady of Lourdes Aided School  Villianur,1,0,
337,obsr1543046,Coimbatore City Bird Atlas (Group Account),0,1,Data otherwise not on eBird but multiple observers
338,obsr1547563,Salem Souriyur Middle School Students (Group Account),1,0,
339,obsr1687149,College of ponnampet,1,0,
340,obsr1635799,Birding From Your Nest: Bruin Audubon Yard Challenge,1,0,
341,obsr1760368,FORESTRY 2016,1,0,
342,obsr1518351,bikaner bird survey,1,0,
343,obsr1679177,Spoonbills Dream Team,1,0,
344,obsr2165771,Kiraksal Birding,1,0,
345,obsr2189036,Aranyakam Nature Foundation,1,0,
346,obsr1812799,Karst 2020,0,0,
347,obsr1965489,Aarush  Birder,1,0,
348,obsr1893972,Natural History Society Palakkad,1,0,
349,obsr1961661,NEST INDIA(Group),1,0,
350,obsr1876327,Team Rockjumper,1,0,
351,obsr1932159,AP Birdwatchers,1,0,
352,obsr1938301,IISERtirupati birders,1,0,
353,obsr1930571,Allindiabirdingtours Team,1,0,
354,obsr1925029,BirdLifeSpeciesChampions Team,1,0,
355,obsr1935591,The Sketchy Birders Team,1,0,
356,obsr1912505,Sociable Lapwing Team,1,0,
357,obsr1883897,Lawsons Team,1,0,
358,obsr1924743,Team Bagh,1,0,
359,obsr1934178,Avantika University,1,0,
360,obsr1935697,TWSI Team,1,0,
361,obsr1935278,Chambal Safari Team,1,0,
362,obsr2018666,Vijayawadawinterwaterbird census,1,0,
363,obsr1951448,Salim Ali  Birdcount (Group Account),1,0,
364,obsr2005043,Envocare Nature Club Sakoli,1,0,
365,obsr2074221,SGNP Birds,1,0,
366,obsr2080686,Eurasian Shorebird Survey,1,0,
367,obsr2115836,Bihu Bird,1,0,
368,obsr2107920,AWC Kozhikode,1,0,
369,obsr2172227,Pattambibirdsurvey Palakkad,1,0,
370,obsr2132952,Satpuda Nature Conservation   Society Chopda ,1,0,
371,obsr2103148,Birds of Kolhapur,1,0,
372,obsr2109817,Ambazari Biodiversity Park,1,0,
373,obsr2181181,Salem Wetlands Survey,1,0,
374,obsr2151691,BWS Team 2,1,0,
375,obsr2202147,Zoology Department,1,0,
376,obsr2275249,Aravalli_Biodiversity Park_Delhi,1,0,
377,obsr2176780,Pong Dam Lake WLS AWC,1,0,
378,obsr2238566,J&K BirdLife,1,0,
379,obsr2218306,Marayoor RBA2021,1,0,
380,obsr2307132,Birders Without Borders,1,0,
381,obsr2279770,Team WWF India,1,0,
382,obsr2282785,Kanhabirdsurvey 2021,1,0,
383,obsr2220851,Sikkim GBBC 2021,1,0,
384,obsr2202334,SAC Womens College,1,0,
385,obsr2215179,"Forest Research Institute, Dehradun",1,0,
386,obsr2213036,Wildlife Institute of India Dehradun,1,0,
387,obsr2265372,Rajghat Besant School KFI,1,0,
388,obsr2353377,Aramness Gir National Park,1,0,
389,obsr2372451,CNHS Survey,1,0,
390,obsr2329152,Thiruvizhamunnu Survey KVASU,1,0,
391,obsr2322392,Ralamandal Sanctuary,1,0,
392,obsr2547053,Vidya Devi Jindal School,1,0,
393,obsr2427957,kashmir wildlife,1,0,
394,obsr2463942,Blue Sky Wildlife Team,1,0,
395,obsr2546673,Amazing Birders,1,0,
396,obsr2212820,Tejas Ebird,0,0,Probably safer
397,obsr2429384,Young Birders Network Big Day,1,0,
398,obsr1821534,"Komal G. Parteki Greenfriends Nature Club, dist. Bhandara (Maharashtra)",0,0,
399,obsr2564917,Birds of Bellezea,1,0,
400,obsr2587801,Lokesh channe Green friends nature club Dist. Bhandara,0,0,I think this is a person
,,,,,
,,,,,
,,,340,30,
